"gene","coefficient","direction"
"ZNF506",0.342551513432847,"up_in_ALS"
"CTD-3018O17.3",0.278838741215018,"up_in_ALS"
"OR7D2",-0.190621213813157,"down_in_ALS"
"MT-TS1",-0.148136222685709,"down_in_ALS"
"XXbac-B444P24.8",-0.146672870378168,"down_in_ALS"
"ZNF528",0.140988645365527,"up_in_ALS"
"PCDHGB4",0.129157034735383,"up_in_ALS"
"ETFA",-0.116484143215119,"down_in_ALS"
"MYH7B",0.116050623511326,"up_in_ALS"
"SPINK5",0.108898280789859,"up_in_ALS"
"AC012309.5",0.105497327076151,"up_in_ALS"
"CYP2E1",0.104289598305621,"up_in_ALS"
"RP11-267N12.1",-0.0994196551486465,"down_in_ALS"
"APLP2",-0.0924674310533305,"down_in_ALS"
"PDCL3P4",0.0907892798595431,"up_in_ALS"
"RP11-507K2.3",0.0890728708782142,"up_in_ALS"
"LINC00672",-0.0882161929702043,"down_in_ALS"
"PRKACG",-0.0815768777592726,"down_in_ALS"
"PCDHGA8",0.0781027836385007,"up_in_ALS"
"TEKT4P2",-0.07737352735495,"down_in_ALS"
"ARHGAP28",0.0701596783945997,"up_in_ALS"
"SYT6",0.0654920299130339,"up_in_ALS"
"ACACB",0.0652541743678391,"up_in_ALS"
"STXBP6",0.0651090608925534,"up_in_ALS"
"GPR4",0.0623564738489358,"up_in_ALS"
"CTC-559E9.5",0.0605841942723258,"up_in_ALS"
"RP11-108K14.4",0.0576747725374629,"up_in_ALS"
"RP11-473M20.14",0.0557765414219268,"up_in_ALS"
"ZNF619",0.0546967548084258,"up_in_ALS"
"RP11-428C19.5",0.052201325487355,"up_in_ALS"
"SAMD3",-0.0483662730117358,"down_in_ALS"
"SLC14A1",0.0474791278717356,"up_in_ALS"
"RNASEH1",-0.0444552017793473,"down_in_ALS"
"RARRES2P1",0.0416229150593066,"up_in_ALS"
"STK32B",-0.0389263824815983,"down_in_ALS"
"CTD-3006G17.2",0.0386687416016449,"up_in_ALS"
"AC139099.3",-0.0385975772368797,"down_in_ALS"
"CTD-2154I11.2",0.0377931388165841,"up_in_ALS"
"ERV3-1",0.0334130696812958,"up_in_ALS"
"ZNF454",0.0316396181613706,"up_in_ALS"
"ZNF534",0.0259976110700949,"up_in_ALS"
"GPAT2",0.0259058839099959,"up_in_ALS"
"KYNU",-0.0246700814337775,"down_in_ALS"
"FECH",-0.0165084259374567,"down_in_ALS"
"CTD-2281M20.1",0.0162965759356545,"up_in_ALS"
"MIR4737",0.0152257450416774,"up_in_ALS"
"DLG2",-0.0141768392317224,"down_in_ALS"
"HLA-F-AS1",0.0132783111116643,"up_in_ALS"
"C1orf194",0.00813642487388639,"up_in_ALS"
"ADORA3",-0.00771887198067806,"down_in_ALS"
"RP11-473I1.10",-0.0074585206077346,"down_in_ALS"
"MUTYH",0.00350536760021776,"up_in_ALS"
"BX322557.10",0.00295839281550816,"up_in_ALS"
