"gene","importance"
"ZNF835",0.0024130306036556
"RP5-857K21.11",0.00208477840540978
"LHX3",0.00194423631923632
"ZNF506",0.00174832451499118
"CTD-2619J13.17",0.00168812515262515
"ZNF132",0.00168209325396825
"CTC-559E9.5",0.00156666666666667
"ZNF571-AS1",0.00156443578643579
"ZNF229",0.00156297932127396
"ZNF578",0.00148214285714286
"PCDHGA2",0.00144798227933149
"ZNF528",0.0013382905982906
"CYP2E1",0.00132661782661783
"PPM1E",0.00132445987654321
"ETFA",0.00127545628887832
"GRB10",0.00118877551020408
"MT-TS1",0.00113304552590267
"RP11-281O15.4",0.00111289277615808
"XXbac-B444P24.8",0.00109404761904762
"ZNF454",0.00108523965141612
"CROCCP2",0.00103869047619048
"TRIM4",0.00103111111111111
"NPR3",0.00102160493827161
"C19orf52",0.000987142857142857
"RNF5P1",0.000965097402597403
"TACR3",0.000952
"ZNF804A",0.000945386904761905
"FNBP1",0.000945069642291864
"AP000350.6",0.000937156593406594
"HLA-A",0.00093
"SLCO1A2",9e-04
"GINS1",0.000873406593406593
"TYW3",0.000869047619047619
"CTD-2306M5.1",0.000867416722019897
"MIR4458HG",0.000857142857142857
"CTD-3018O17.3",0.000857142857142857
"XKR7",0.000854762796727082
"RP5-857K21.1",0.000852596153846154
"FAM90A20P",0.000839531004709576
"FAM90A11P",0.000833333333333333
"CRKL",0.00082
"RP11-507K2.3",0.000817386694937715
"DSTNP1",0.000809259259259259
"ZNF483",0.000802287581699346
"RASSF1",0.0007854526425955
"RP11-69E11.4",0.000734126984126984
"BMP2",0.000730769230769231
"PEA15",0.000714285714285714
"VCPKMT",0.000714285714285714
"AC079779.5",0.000711254001600641
"CCNB1",0.000709104938271605
"KPNA6",0.000702857142857143
"TCEB1P2",0.000694551282051282
"BRINP3",0.000693990929705215
"SGK223",0.000690056022408963
"CTB-1I21.2",0.000683589743589744
"AC090044.1",0.000680288461538462
"ZNF300",0.000677969649398221
"ERV3-1",0.000672820512820513
"SNX11",0.000670194003527337
"TMEM248",0.000669172932330827
"RP11-434I12.5",0.000665366627420199
"TXNDC17",0.00066
"NELL1",0.000645408163265306
"RP11-1072N2.2",0.000641025641025641
"KLHL29",0.000637731481481481
"AP000350.5",0.000632795188350744
"ZNF501",0.000625
"AC139099.3",0.000625
"PPIL2",0.000625
"RN7SL258P",0.000623043981481481
"CHAF1A",0.000614583333333333
"MAP3K12",0.000611111111111111
"ZNF135",0.000606570512820513
"CTSC",0.000605769230769231
"RSG1",0.000605769230769231
"hsa-mir-6723",0.000601010101010101
"MRI1",0.00059375
"N4BP2L1",0.000586538461538462
"TACC2",0.00058501919286233
"CCNL1",0.000581196581196581
"PCDHGA8",0.000579326923076923
"RP11-488L18.1",0.000578631452581032
"CLDN15",0.000577008928571428
"MROH6",0.000575591836734694
"SNHG7",0.000574573863636364
"ZNF484",0.000571428571428571
"RP11-335G20.7",0.000561333333333333
"FRA10AC1",0.00056
"SPINK5",0.000549768518518519
"NUDT19",0.000547008547008547
"PCDH9",0.000546875
"COL21A1",0.000545454545454546
"RAP1B",0.000545454545454546
"LINC00702",0.000545454545454545
"MPV17L2",0.000545454545454545
"AC005537.2",0.000534455128205128
"RP11-224O19.2",0.000533333333333333
"CTD-3099C6.5",0.000533333333333333
"ZNF676",0.000533055555555556
"VN1R108P",0.000528846153846154
"UNC79",0.000523589743589743
"FAM66B",0.000522530864197531
"SZT2",0.00052
"POU2F1",0.000514719848053181
"SHH",0.000508333333333333
"RP11-475I24.3",0.000501960784313725
"FAM107B",5e-04
"TOR1AIP2",5e-04
"FAM160B2",5e-04
"ERLIN2",5e-04
"ACBD4",5e-04
"MT-TY",5e-04
"CCDC135",0.000499215070643642
"LSS",0.000491714015151515
"RP4-660H19.1",0.00049
"IFT27",0.000488148148148148
"OAZ3",0.000483660130718954
"RP11-1038A11.1",0.000479910714285714
"CTCF",0.000478632478632479
"GCA",0.000478461538461538
"ZNF98",0.000474074074074074
"ISPD-AS1",0.000470588235294118
"RP11-95D17.1",0.000466703296703296
"ALG1L2",0.000466666666666667
"NFATC2",0.000461538461538462
"NUDCD1",0.000461538461538461
"GSG1L",0.000461538461538461
"MYL12A",0.000461538461538461
"WEE1",0.00045839874411303
"C2orf15",0.00045764705882353
"AKIP1",0.000457264957264957
"MAML2",0.000457264957264957
"RP11-143K11.1",0.000455722402597403
"CTD-2033A16.2",0.000448620019436346
"COX18",0.000448484848484848
"CTGLF11P",0.000448
"OGFOD1",0.000444444444444444
"PDCL3P4",0.000444444444444444
"IFT172",0.000438692480359147
"CMTM4",0.000435555555555555
"RP11-1L12.3",0.000434895833333333
"RP11-1134I14.4",0.00043482905982906
"ZNF322P1",0.000431818181818182
"CCDC19",0.000428571428571429
"OR2L5",0.000428571428571429
"TMPPE",0.000428571428571429
"TDRD6",0.000428571428571429
"TNFRSF19",0.000428571428571429
"MLLT6",0.000428571428571429
"FMNL2",0.000428571428571428
"FLYWCH1",0.000428095238095238
"SLC22A23",0.00042125
"ZSCAN22",0.000421052631578948
"RP11-372K14.2",0.000420634920634921
"RP11-234A1.1",0.000419642857142857
"CKS1B",0.000415
"PDZD2",0.000414529914529915
"CERS6",0.000411458333333333
"HOPX",0.000410714285714286
"COL25A1",0.000408730158730159
"ZNF681",0.000407272727272727
"ZNF502",0.000404411764705882
"CCDC62",0.000402721088435374
"NPPC",0.000401428571428571
"FAM200B",4e-04
"KIF23",4e-04
"C3orf38",4e-04
"PSMG4",4e-04
"KDM6A",4e-04
"RP11-266K4.1",4e-04
"SLC47A2",4e-04
"TAF15",4e-04
"C19orf66",4e-04
"ZNF223",4e-04
"PLCD1",0.000398744113029827
"CAPN5",0.000396825396825397
"PARP16",0.000393162393162393
"ZFP41",0.000392857142857143
"LINC00675",0.000392857142857143
"RP1-228H13.5",0.000388671875
"BCL11B",0.000387755102040816
"RP11-274B21.1",0.000386831275720165
