"gene_symbol","logFC","logCPM","F","PValue","FDR","gene"
"DDX11L1",0.453659520972818,-2.79580301951293,0.533942909892872,0.467682273851774,0.742092162834677,"DDX11L1"
"WASH7P",0.15761883770449,4.85071118176882,1.01237668209886,0.320044195847498,0.627476834856065,"WASH7P"
"MIR1302-10",-0.753773921050972,-2.89785377010275,4.04814935994429,0.0482818778438749,0.252080588313283,"MIR1302-10"
"RP11-34P13.7",-1.03621563930525,-1.51675534437261,8.49679366628737,0.00570312308153841,0.0849949199064239,"RP11-34P13.7"
"CICP27",-0.171941668955245,-0.155623610032967,0.42732574525306,0.516857482240956,0.772433789694466,"CICP27"
"AL627309.1",0.310653851643646,4.69513984656806,1.82422550771673,0.184287392493366,0.484659182861098,"AL627309.1"
"RP11-34P13.15",0.512865568208362,-2.68691286366508,1.58510577700282,0.213077558091786,0.517802862599805,"RP11-34P13.15"
"RP11-34P13.14",-0.419290777112236,-2.14797551912983,0.594291768031215,0.444869317063572,0.726626404398069,"RP11-34P13.14"
"RP11-34P13.13",0.0148689739561306,1.72381949549001,0.00359718472005534,0.95245636007799,0.98890178422242,"RP11-34P13.13"
"RP11-34P13.9",0.137251974415136,-2.43905634749032,0.0918679376576343,0.763079194884875,0.905185897211849,"RP11-34P13.9"
"AP006222.2",-0.45054956051745,1.20772053009519,1.6694839342531,0.203537577157607,0.506397866975425,"AP006222.2"
"RP4-669L17.10",1.31345375638636,1.70986362354508,8.3393189445101,0.00623994945591397,0.0891530797158039,"RP4-669L17.10"
"RP4-669L17.8",-0.277331712246432,-1.76617769065773,0.448532985315345,0.506714955179017,0.765407866319816,"RP4-669L17.8"
"RP5-857K21.15",-1.42464917402653,-4.15706090065872,2.01536562613758,0.163806915127945,0.458944953492964,"RP5-857K21.15"
"RP5-857K21.1",-1.41308195993975,-2.72605030813182,8.00984708051409,0.00616305924992303,0.0884665080847097,"RP5-857K21.1"
"RP5-857K21.4",-0.842988423672806,-1.72001115871033,6.00772743064881,0.018470423029115,0.155043702197884,"RP5-857K21.4"
"MTND1P23",5.56324562964105,3.03242919030572,11.3735326898493,0.00171395771738107,0.0463468999106242,"MTND1P23"
"MTND2P28",-0.428244356629636,6.54169260141841,10.0580730003658,0.00281876737108702,0.0601191547217301,"MTND2P28"
"hsa-mir-6723",0.179895281567004,3.74557923364942,0.714762818204572,0.402670082744387,0.693935198133471,"hsa-mir-6723"
"RP5-857K21.7",-0.222981397492051,-1.78881234624105,0.580254395626413,0.450465810823406,0.730823985282317,"RP5-857K21.7"
"MTATP8P1",-1.09985305319986,-3.7594775615453,5.25479569998754,0.02410714486663,0.17848701575563,"MTATP8P1"
"MTATP6P1",-0.154660272473993,8.63995422633278,3.13016356660311,0.084051355097186,0.330015250781237,"MTATP6P1"
"RP5-857K21.11",-0.59985047828381,-0.497114092910448,6.61543233553983,0.0137481881535427,0.132392817852236,"RP5-857K21.11"
"WBP1LP6",-3.01746688552794,-4.02257485622242,8.57714516976148,0.00557866237454207,0.0843095025318724,"WBP1LP6"
"OR4F16",-3.94294203402622,-3.74300823284963,11.4148051053563,0.00202582925314956,0.0508294868446381,"OR4F16"
"CICP3",0.365139826997207,0.15226630057763,3.79973022377313,0.0579280054743238,0.274954279605278,"CICP3"
"RP11-206L10.1",0.288213932308603,1.77617117837844,4.28820531120883,0.0445059819640031,0.24154766377279,"RP11-206L10.1"
"RP11-206L10.3",-0.213910164571324,0.24495318530967,0.708521894119923,0.404674493944911,0.695591613465029,"RP11-206L10.3"
"RP11-206L10.5",-0.33279427244222,0.103092673467352,1.37214873296635,0.248012515610212,0.557895123599976,"RP11-206L10.5"
"RP11-206L10.2",-0.00907098508016215,1.69290312668134,0.00270022978709618,0.958801841021584,0.991004403201667,"RP11-206L10.2"
"RP11-206L10.9",0.372257693120633,2.15794804550717,10.3358941737813,0.00249762562255217,0.0566941032997666,"RP11-206L10.9"
"RP11-206L10.8",0.376754693468608,-1.0739069586883,3.77102265889308,0.0589621202537067,0.277080828245494,"RP11-206L10.8"
"AL669831.1",0.125553389130072,-2.72162970113268,0.136034385894839,0.713609090253094,0.881387237190967,"AL669831.1"
"FAM87B",0.638183149938134,-0.940196779641816,6.12865221985951,0.017454996789456,0.150344798269689,"FAM87B"
"LINC00115",0.0533833721215019,0.645575880751495,0.138908175289127,0.711229672871365,0.880122848598037,"LINC00115"
"LINC01128",0.0709671589764972,6.29560215015346,0.945273240229049,0.336441687363267,0.6416640280076,"LINC01128"
"FAM41C",0.135024947993228,-1.25521225008023,0.196253516160501,0.660074024858987,0.854122627182371,"FAM41C"
"TUBB8P11",0.187722787176452,-3.76368643359906,0.0620628662665478,0.803768662740953,0.924214830540016,"TUBB8P11"
"RP11-54O7.16",-0.0482052386643282,1.3199268783767,0.042379099664542,0.8378851842047,0.939921847547525,"RP11-54O7.16"
"RP11-54O7.1",-0.0197372645199862,3.77021835367036,0.00706847163888536,0.933404847665167,0.98190964981093,"RP11-54O7.1"
"RP11-54O7.2",0.28439239635207,-2.07951215677638,0.73023121318631,0.39737995726151,0.6897279955616,"RP11-54O7.2"
"RP11-54O7.3",-0.109599135576811,5.17945777077677,0.19642183407815,0.660017807286817,0.854082631332038,"RP11-54O7.3"
"SAMD11",-0.378080534150628,5.55045354279999,0.759140102222837,0.389021693983422,0.684218755734953,"SAMD11"
"AL645608.1",-0.758431139205211,0.197811674843175,1.93212265184258,0.172311365800311,0.469405203556919,"AL645608.1"
"NOC2L",-0.218434889669244,6.5462377455547,8.4152769893075,0.00587725168222536,0.0863472409752108,"NOC2L"
"KLHL17",0.274217832413316,5.11678906484571,5.59803507531001,0.0226264721880363,0.172442537698659,"KLHL17"
"PLEKHN1",0.885088183600373,-0.798216140263071,5.67699770644399,0.0218161635977757,0.169443054760445,"PLEKHN1"
"C1orf170",0.616370159392526,-1.86849154410953,2.39581685775818,0.128862336523974,0.409297606465716,"C1orf170"
"RP11-54O7.17",0.200158181256997,2.24080879712824,1.34028846752587,0.253467340224885,0.564235108672041,"RP11-54O7.17"
"HES4",0.142340175227545,5.67298455189207,2.07935497934848,0.156652328368722,0.449650942031068,"HES4"
"RP11-54O7.10",0.229182853941246,0.0923789914897368,1.26722842656612,0.266650154769386,0.577591787414679,"RP11-54O7.10"
"RP11-54O7.11",0.37259793861343,0.358870140909055,3.99484966679765,0.0521004833628808,0.261020637180395,"RP11-54O7.11"
"ISG15",-0.244103617216658,2.10533649122498,1.41595752562247,0.240694791112348,0.548289800731515,"ISG15"
"AGRN",0.0667616520190943,8.95762569186563,0.655694226727426,0.422607217544429,0.709397421929559,"AGRN"
"RP11-465B22.3",0.35521500175355,1.98944000576228,2.17710252809258,0.14747139077413,0.437206098959374,"RP11-465B22.3"
"RP11-54O7.18",0.701711616122308,-0.783516838839578,4.02432257900526,0.0513628626211622,0.259017659121312,"RP11-54O7.18"
"RNF223",0.734859747736742,-3.08203358342265,2.11266899689994,0.150248466920608,0.440937194910449,"RNF223"
"C1orf159",0.135371133042175,4.17032417459272,3.10776760535091,0.0851294065908915,0.332568809445479,"C1orf159"
"RP11-465B22.5",0.640718638789667,-4.39808795043936,0.524865630380811,0.489534859078948,0.752997594471317,"RP11-465B22.5"
"RP11-465B22.8",-0.947680449663384,-4.285312687573,0.798567337397593,0.382883349268646,0.679703544858969,"RP11-465B22.8"
"TTLL10-AS1",-0.690926473632291,-4.06314954388307,0.646465155185835,0.424708009552934,0.711119880842612,"TTLL10-AS1"
"TTLL10",0.215474563442951,-3.97213021332557,0.0540561867016264,0.816770042162838,0.931011910182709,"TTLL10"
"TNFRSF18",-0.226014763404737,-3.17695182845882,0.173647603509386,0.678013007080142,0.863332639698658,"TNFRSF18"
"TNFRSF4",0.740595941606788,-3.58031883169394,1.55992265834902,0.214713837091887,0.519509596578639,"TNFRSF4"
"SDF4",-0.0468868204100093,6.25152172140612,0.423754935230744,0.518583200742907,0.773610966115767,"SDF4"
"B3GALT6",-0.095259912245615,6.0071598626088,1.30693497943197,0.259366810303541,0.570616488787637,"B3GALT6"
"FAM132A",0.561325652080157,-0.154909091961129,6.27343514949565,0.0162182801247965,0.144469565951373,"FAM132A"
"RP5-902P8.12",-0.138924115330187,-1.93490820288,0.235121546726524,0.630223283835781,0.838516998880543,"RP5-902P8.12"
"UBE2J2",-0.208115884345514,5.47048317424533,9.60455523542886,0.00344148361412234,0.0664035148803812,"UBE2J2"
"RP5-902P8.10",0.342273525393114,0.323394855592541,2.82481837055209,0.100198426795244,0.358768839157464,"RP5-902P8.10"
"SCNN1D",0.490553743130991,3.29783136691697,9.67205686095944,0.00334039280719869,0.0657257700847273,"SCNN1D"
"ACAP3",0.274445771793002,8.19857395931846,6.21670282524737,0.0166421664861152,0.146714522572344,"ACAP3"
"PUSL1",-0.112812962363839,2.96553948488328,1.51139266234548,0.225708908506122,0.53135671680196,"PUSL1"
"CPSF3L",0.122313339122377,6.54465592736911,2.97822243456816,0.0916767340404089,0.344292760256141,"CPSF3L"
"RP5-890O3.9",0.333787828288452,2.50687802249849,5.04835979230271,0.0299151208418846,0.198886048670426,"RP5-890O3.9"
"GLTPD1",-0.167039699530943,5.02723525312637,4.45837894000242,0.0406669351026751,0.230730843797911,"GLTPD1"
"TAS1R3",0.292939845659343,2.43432748615497,3.00777082058526,0.0901364291436702,0.341395519002406,"TAS1R3"
"DVL1",-0.0543666048186924,5.96100232729351,0.867481501052472,0.356928754219328,0.659603594793881,"DVL1"
"MXRA8",0.130966517708634,4.17438192910704,0.159186669625664,0.692060536238156,0.871145954545184,"MXRA8"
"AURKAIP1",-0.269903178633381,5.18593058659248,9.08317598048258,0.00434214206573964,0.0751457786115464,"AURKAIP1"
"RP5-890O3.3",-0.0296396065368272,-3.46859635725683,0.00310064145404391,0.95570524981322,0.989963180512228,"RP5-890O3.3"
