"gene","fdr28","fdr50","selected","Timepoint","logFC"
"MUTYH",0.00261964038396746,0.570679631199175,"Day28 only","iMN day 28",0.413362851277626
"MUTYH",0.00261964038396746,0.570679631199175,"Day28 only","iMN day 50",0.138653016435959
"C1orf194",0.0189405473298148,0.474152836309789,"Day28 only","iMN day 28",0.799667766190004
"C1orf194",0.0189405473298148,0.474152836309789,"Day28 only","iMN day 50",0.318350506436971
"ADORA3",0.0612711378208568,0.558562339937584,"Day28 only","iMN day 28",-1.52062803051925
"ADORA3",0.0612711378208568,0.558562339937584,"Day28 only","iMN day 50",-0.924065812404068
"SYT6",0.000669595572940958,0.579798864572467,"Day28 only","iMN day 28",0.911263865238862
"SYT6",0.000669595572940958,0.579798864572467,"Day28 only","iMN day 50",0.304650966154734
"RP11-267N12.1",0.00667119501179898,0.775410665187507,"Day28 only","iMN day 28",-3.39725823804486
"RP11-267N12.1",0.00667119501179898,0.775410665187507,"Day28 only","iMN day 50",0.84633800812746
"RNASEH1",0.0228429468569118,0.544921701850213,"Day28 only","iMN day 28",-0.20637662651202
"RNASEH1",0.0228429468569118,0.544921701850213,"Day28 only","iMN day 50",-0.0799787119153917
"GPAT2",0.0048553478037086,0.877420965335403,"Day28 only","iMN day 28",1.05546304388401
"GPAT2",0.0048553478037086,0.877420965335403,"Day28 only","iMN day 50",0.0956399992864292
"KYNU",0.0138992550921527,0.873956996026733,"Day28 only","iMN day 28",-2.13064829282021
"KYNU",0.0138992550921527,0.873956996026733,"Day28 only","iMN day 50",0.324687899981337
"ZNF619",0.000589921558514994,0.249944893282403,"Day28 only","iMN day 28",0.659032609143077
"ZNF619",0.000589921558514994,0.249944893282403,"Day28 only","iMN day 50",0.396915953707468
"RARRES2P1",0.00884147069219417,0.955082232398718,"Day28 only","iMN day 28",1.40300221967716
"RARRES2P1",0.00884147069219417,0.955082232398718,"Day28 only","iMN day 50",-0.0445401123724414
"PDCL3P4",7.29034653766e-05,0.0116794140914541,"Day28 only","iMN day 28",1.3922416480259
"PDCL3P4",7.29034653766e-05,0.0116794140914541,"Day28 only","iMN day 50",1.40186645937244
"STK32B",0.000667634787609611,0.269211544866479,"Day28 only","iMN day 28",-1.05651910118919
"STK32B",0.000667634787609611,0.269211544866479,"Day28 only","iMN day 50",-0.616798578963794
"CTD-2154I11.2",0.0191401730871044,0.660850453494099,"Day28 only","iMN day 28",1.25044419888966
"CTD-2154I11.2",0.0191401730871044,0.660850453494099,"Day28 only","iMN day 50",-0.275540681218367
"CTD-2281M20.1",0.0261154022559648,0.94702431087979,"Day28 only","iMN day 28",2.55575596856099
"CTD-2281M20.1",0.0261154022559648,0.94702431087979,"Day28 only","iMN day 50",0.0915504595171418
"PCDHGB4",0.000360697054617431,0.0724175419646636,"Day28 only","iMN day 28",1.9663946648837
